index,artwork_title,metadata,url
5500,"Frightened Woman, n.d., Honoré-Victorin Daumier","Artist
Honoré-Victorin Daumier
Title
Frightened Woman
Origin
France
Date
1828–1879
Medium
Charcoal, with black crayon, on ivory laid paper
Dimensions
210 × 239 mm
Credit Line
Gift of the Print and Drawing Club
Reference Number
1923.944",https://www.artic.edu/artworks/9281/frightened-woman
5501,"Emblems for Royal Crown Lodge No. 22, 1810/15, Artist unknown","Artist
Artist unknown
Title
Emblems for Royal Crown Lodge No. 22
Origin
United States
Date
c. 1810–1815
Medium
Oil on panel
Inscriptions
Banner on top read: ""ROYAL CROWN LODGE NO. 22."" Banner on bottom reads: ""AMICITIA AMOR ET VERITAS""
Dimensions
63.5 × 80.7 cm (25 × 31 3/4 in.)
Credit Line
Gift of the Estate of Edgar William and Bernice Chrysler Garbisch
Reference Number
1980.731",https://www.artic.edu/artworks/61117/emblems-for-royal-crown-lodge-no-22
5502,"Two Beauties in a Boat, c. 1768, Suzuki Harunobu","Artist
Suzuki Harunobu
Title
Two Beauties in a Boat
Origin
Japan
Date
1763–1770
Medium
Color woodblock print; chuban
Dimensions
28.1 x 21.3 cm (11 1/4 x 8 1/4 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.2099",https://www.artic.edu/artworks/20952/two-beauties-in-a-boat
5503,"Bonimenteur, c. 1925, Georges Rouault","Artist
Georges Rouault
Title
Bonimenteur
Origin
France
Date
1920–1930
Medium
Oil on canvas
Inscriptions
Signed, I.r.: ""G. Rouault""
Dimensions
41 7/8 × 29 7/8 in. (106.5 × 76 cm)
Credit Line
Gift of Mrs. Leigh B. Block in memory of Albert D. Lasker
Reference Number
1958.192
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/7694/bonimenteur
5504,"Jacqueline in Profile to the Right, December 27, 1958, Pablo Picasso","Artist
Pablo Picasso
Title
Jacqueline in Profile to the Right
Origin
Spain
Date
Printed 1958
Medium
Lithograph from a zinc plate, with scraping, in black on ivory wove paper
Dimensions
557 x 440 mm (image); 660 x 505 mm (sheet)
Credit Line
Restricted gift of Mrs. Leigh B. Block
Reference Number
1965.33
Copyright
© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/22655/jacqueline-in-profile-to-the-right
5505,"Reliquary Monstrance with a Relic of Saint Christina, 1450/1500","Title
Reliquary Monstrance with a Relic of Saint Christina
Origin
Brunswick
Date
1450–1500
Medium
Silver, rock crystal, and enamel
Dimensions
22.2 × 8.9 cm (8 3/4 × 3 1/2 in.)
Credit Line
Gift of Mrs. Chauncey McCormick
Reference Number
1962.90",https://www.artic.edu/artworks/88416/reliquary-monstrance-with-a-relic-of-saint-christina
5506,"Guedras in the Wind, Morocco, 1971, printed November 1980, Irving Penn","Artist
Irving Penn
Title
Guedras in the Wind, Morocco
Origin
United States
Date
Made 1971
Medium
Platinum-palladium print; edition 7/32
Inscriptions
Inscribed verso: “1467 / .. [in a circle]”; inscribed verso: “GUEDRAS IN THE WIND [underlined] / Rives Paper on Aluminum / Platinum-palladium / Print made November 1980.”; stamped verso: “Deacidified”; stamped and inscribed verso: “PHOTOGRAPH BY IRVING PENN / Copyright © 1978 by Irving Penn / Not to be reproduced without / written permission of the / copyright owner and / THE CONDE NAST PUBLICATINS INC.”; inscribed verso: “7/32”; signed and stamped verso: “Irving Penn / Hand-coated by the photographer [in a circle]”; stamped and inscribed verso: “In addition to 32 numbered prints of this image / in platinum metals, unnumbered, but signed, silver prints not exceeding a total of 0 may exist.”
Dimensions
44.5 × 44.5 cm (image); 60.6 × 55.9 cm (paper); 63.4 × 55.9 cm (mount)
Credit Line
Gift of Irving Penn
Reference Number
1996.271
Copyright
Copyright The Irving Penn Foundation",https://www.artic.edu/artworks/144873/guedras-in-the-wind-morocco
5507,"Brooklyn Bridge, 1930, Louis Lozowick","Artist
Louis Lozowick
Title
Brooklyn Bridge
Origin
United States
Date
1930
Medium
Lithograph on cream wove paper
Dimensions
330 x 200 mm (image); 400 x 290 mm (sheet)
Credit Line
Gift of Alfred E. Hamill
Reference Number
1931.222",https://www.artic.edu/artworks/8130/brooklyn-bridge
5508,"Christ Crowned with Thorns, from The Small Passion, 1624/31, Jacques Callot","Artist
Jacques Callot
Title
Christ Crowned with Thorns, from The Small Passion
Origin
France
Date
1612–1635
Medium
Etching on ivory laid paper
Dimensions
77 × 57 mm
Credit Line
Gift of Mr. and Mrs. Potter Palmer, Jr.
Reference Number
1923.226",https://www.artic.edu/artworks/8190/christ-crowned-with-thorns-from-the-small-passion
5509,"Oh Blast! … the grapes really aren’t good this year!, plate 24 from Pastorales, 1845, Honoré-Victorin Daumier","Artist
Honoré-Victorin Daumier
Title
Oh Blast! ... the grapes really aren't good this year!, plate 24 from Pastorales
Origin
France
Date
1845
Medium
Lithograph in black on white wove paper
Dimensions
350 × 266 mm (image); 261 × 230 mm (sheet)
Credit Line
John H. Wrenn Memorial Collection
Reference Number
1958.780",https://www.artic.edu/artworks/9462/oh-blast-the-grapes-really-aren-t-good-this-year-plate-24-from-pastorales
5510,"Untitled (Self-Portrait Hidden in a Landscape), 1936, Salvador Dalí","Artist
Salvador Dalí
Title
Untitled (Self-Portrait Hidden in a Landscape)
Origin
Spain
Date
1936
Medium
Pen and brush and black ink on cream wove paper
Inscriptions
Signed recto, lower right, in black ink: ""Salvador Dali 1936""
Dimensions
545 x 440 mm
Credit Line
Gift of Mr. and Mrs. Joseph R. Shapiro
Reference Number
1992.211
Copyright
© Salvador Dalí, Fundació Gala-Salvador Dalí / Artists Rights Society (ARS), New York, 2018",https://www.artic.edu/artworks/117366/untitled-self-portrait-hidden-in-a-landscape
5511,"The Beggar on Crutches, plate sixteen from The Beggars, c. 1622, Jacques Callot","Artist
Jacques Callot
Title
The Beggar on Crutches, plate sixteen from The Beggars
Origin
France
Date
1617–1627
Medium
Etching on paper
Dimensions
137 × 88 mm (plate); 142 × 92 mm (sheet)
Credit Line
Restricted gift of Frank B. Hubachek
Reference Number
1963.589",https://www.artic.edu/artworks/18069/the-beggar-on-crutches-plate-sixteen-from-the-beggars
5512,"Dove in Flight, July 9, 1950, Pablo Picasso","Artist
Pablo Picasso
Title
Dove in Flight
Origin
Spain
Date
1950
Medium
Lithograph on ivory wove paper
Dimensions
520 x 675 mm (image); 565 x 762 mm (sheet)
Credit Line
Gift from the estate of Curt Valentin
Reference Number
1955.621
Copyright
© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/83858/dove-in-flight
5513,"The Harugoma Dance, c. 1764, Torii Kiyomitsu I","Artist
Torii Kiyomitsu I
Title
The Harugoma Dance
Origin
Japan
Date
1761–1771
Medium
Color woodblock print; o-oban yoko-e, benizuri-e
Dimensions
11 7/8 x 16 15/16 in.
Credit Line
Clarence Buckingham Collection
Reference Number
1925.1998",https://www.artic.edu/artworks/19913/the-harugoma-dance
5514,"Winston Man, c. 1980, Andy Warhol","Artist
Andy Warhol
Title
Winston Man
Origin
United States
Date
1976–1986
Medium
Gelatin silver prints, stitched (4)
Inscriptions
Unmarked verso
Dimensions
53.8 × 69.4 cm (image and paper)
Credit Line
Gift of Boardroom, Inc.
Reference Number
1992.720
Copyright
© 2018 The Andy Warhol Foundation for the Visual Arts, Inc. / Artists Rights Society (ARS), New York",https://www.artic.edu/artworks/121159/winston-man
5515,"Philip III, King of Spain, n.d., Cornelis Visscher, the Elder","Artist
Cornelis Visscher, the Elder
Title
Philip III, King of Spain
Origin
Holland
Date
1540–1586
Medium
Engraving on paper
Credit Line
Gift of Horace S. Oakley
Reference Number
1923.1031",https://www.artic.edu/artworks/9437/philip-iii-king-of-spain
5516,"A.I.Z. (Workers’ Illustrated Magazine), 1929–34, John Heartfield","Artist
John Heartfield
Title
A.I.Z. (Workers' Illustrated Magazine)
Origin
Germany
Date
Made 1929–1934
Medium
Photolithograph Periodicals (Various bound & loose issues)
Dimensions
38.1 × 28 cm (15 × 11 in., bound issues); 37.7 × 27.4 cm (loose issues)
Credit Line
Wirt D. Walker Trust
Reference Number
2009.488.1-xx
Copyright
© 2018 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",https://www.artic.edu/artworks/199245/a-i-z-workers-illustrated-magazine
5517,"Seaside, Port of Honfleur, c. 1860, Eugène Louis Boudin","Artist
Eugène Louis Boudin
Title
Seaside, Port of Honfleur
Origin
France
Date
1854–1860
Medium
Pastel on blue wove paper
Dimensions
185 × 259 mm
Credit Line
Helmuth Bartsch Endowment
Reference Number
2006.129",https://www.artic.edu/artworks/187703/seaside-port-of-honfleur
5518,"Woman in Dior Hat with Martini (Lisa Fonssagrives-Penn), New York, 1952, printed 1952/60, Irving Penn","Artist
Irving Penn
Title
Woman in Dior Hat with Martini (Lisa Fonssagrives-Penn), New York
Origin
United States
Date
Made 1952
Medium
Gelatin silver print; edition of 14
Dimensions
34 × 34.5 cm (image); 37.4 × 46.9 cm (paper)
Credit Line
Gift of Irving Penn
Reference Number
1996.240
Copyright
Copyright Condé Nast Publications, Inc.",https://www.artic.edu/artworks/144839/woman-in-dior-hat-with-martini-lisa-fonssagrives-penn-new-york
5519,"Plum Garden at Kameido (Kameido Umeyashiki), from the series “One Hundred Famous Views of Edo (Meisho Edo hyakkei)”, 1857, Utagawa Hiroshige","Artist
Utagawa Hiroshige
Title
Plum Garden at Kameido (Kameido Umeyashiki), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""
Origin
Japan
Date
1856–1858
Medium
Color woodblock print; oban
Dimensions
36 x 24.4 cm (14 3/16 x 9 9/16 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1925.3752",https://www.artic.edu/artworks/26577/plum-garden-at-kameido-kameido-umeyashiki-from-the-series-one-hundred-famous-views-of-edo-meisho-edo-hyakkei
5520,"The Actors Matsumoto Koshiro IV as Ukita Sakingo and Sawamura Sojuro III as the ghost of the courtesan Takao, in the play “Ominaeshi Sugata no Hatsuaki,” performed at the Nakamura Theater, 1788, 1788, Torii Kiyonaga","Artist
Torii Kiyonaga
Title
The Actors Matsumoto Koshiro IV as Ukita Sakingo and Sawamura Sojuro III as the ghost of the courtesan Takao, in the play ""Ominaeshi Sugata no Hatsuaki,"" performed at the Nakamura Theater, 1788
Origin
Japan
Date
1788
Medium
Color woodblock print; oban
Dimensions
36.3 × 24.6 cm
Credit Line
Clarence Buckingham Collection
Reference Number
1929.747",https://www.artic.edu/artworks/3629/the-actors-matsumoto-koshiro-iv-as-ukita-sakingo-and-sawamura-sojuro-iii-as-the-ghost-of-the-courtesan-takao-in-the-play-ominaeshi-sugata-no-hatsuaki-performed-at-the-nakamura-theater-1788
5521,"Miracle of the Loaves and Fishes, n.d., Tintoretto","Artist
Tintoretto
Title
Miracle of the Loaves and Fishes
Origin
Italy
Date
1648–1688
Medium
Pen and brown ink with brown crayon, with touches of white chalk, on brown laid paper
Dimensions
354 × 278 mm (max.)
Credit Line
The Leonora Hall Gurley Memorial Collection
Reference Number
1922.3471",https://www.artic.edu/artworks/3142/miracle-of-the-loaves-and-fishes
5522,"Fairy Land, 1881, Gustave Doré","Artist
Gustave Doré
Title
Fairy Land
Origin
France
Date
1881
Medium
Watercolor, with touches of gouache, over graphite, on cream wove paper
Inscriptions
Signed and dated lower right, in ink: ""Gv Doré / 1881"".
Dimensions
648 × 890 mm
Credit Line
Clarence Buckingham Collection
Reference Number
1938.1959",https://www.artic.edu/artworks/29728/fairy-land
5523,"Arm Guard (Bazuband) from Suit of Armor, 18th century, Islamic","Artist
Islamic
Title
Arm Guard (Bazuband) from Suit of Armor
Origin
Iran
Date
1701–1800
Medium
Steel inlaid with gold, with engraved and pierced decoration
Dimensions
34.5 × 10.2 × 3.8 cm (13 3/4 × 4 × 1 1/2 in.)
Credit Line
Logan-Patten-Ryerson collection
Reference Number
1926.1212",https://www.artic.edu/artworks/30969/arm-guard-bazuband-from-suit-of-armor
