index,artwork_title,metadata,url
7600,"Box Sofa, c. 1820, Duncan Phyfe","Artist
Duncan Phyfe
Title
Box Sofa
Origin
United States
Date
c. 1820
Medium
Rosewood and gilded wood, with ormolu mounts, die-stamped brass inlay inset with rosewood, brass stringing, and gilt-brass castors
Dimensions
85.7 × 208.3 × 69.2 cm (33 3/4 × 82 × 27 1/4 in.)
Credit Line
Restricted gifts of The Antiquarian Society and Mrs. Herbert A. Vance
Reference Number
2002.17",https://www.artic.edu/artworks/158977/box-sofa
7601,"Detail Study #1 for “Package Deal”, 1956, Stuart Davis","Artist
Stuart Davis
Title
Detail Study #1 for ""Package Deal""
Origin
United States
Date
1956
Medium
Gouache with graphite on off-white wove paper
Dimensions
411 x 331 mm
Credit Line
Gift of Leo S. Guthman
Reference Number
2003.270",https://www.artic.edu/artworks/180821/detail-study-1-for-package-deal
7602,"The Safety Patrol, 2018, Bisa Butler","Artist
Bisa Butler
Title
The Safety Patrol
Origin
New Jersey
Date
Made 2018
Medium
Cotton, wool, and chiffon; appliquéd and quilted
Dimensions
208 x 229 cm (82 x 90 in.)
Credit Line
Cavigga Family Trust Fund
Reference Number
2019.785",https://www.artic.edu/artworks/249299/the-safety-patrol
7603,"Relief Plaque, Early 1st century AD, Ancient Roman","Culture
Ancient Roman
Title
Relief Plaque
Origin
Rome
Date
1 AD–50 AD
Medium
terracotta
Dimensions
58.8 × 46.9 × 5 cm (23 1/4 × 18 3/8 × 2 in.)
Credit Line
Katherine K. Adler Memorial Fund; restricted gift of Mr. and Mrs. Kenneth Bro, the Classical Art Society, and Mr. and Mrs. Walter Alexander
Reference Number
1990.87",https://www.artic.edu/artworks/109509/relief-plaque
7604,"Augustus Saint Gaudens II (Saint Gaudens and his model), 1897, Anders Zorn","Artist
Anders Zorn
Title
Augustus Saint Gaudens II (Saint Gaudens and his model)
Origin
Sweden
Date
Made 1897
Medium
Etching on ivory laid paper
Dimensions
137 x 198 mm (image/plate); 300 x 400 mm (sheet)
Credit Line
Wallace L. DeWolf and Charles Deering Collections of Etchings by Anders Zorn
Reference Number
1913.1018",https://www.artic.edu/artworks/55415/augustus-saint-gaudens-ii-saint-gaudens-and-his-model
7605,"Pilgrim Flask, Tang dynasty (618–907 A.D.), first half of 8th century","Title
Pilgrim Flask
Origin
China
Date
701 AD–750 AD
Medium
Earthenware with three-color (sancai) lead glazes
Dimensions
19.2 × 15.5 × 14.5 cm (7.6 × 6.1 × 5.7 in.)
Credit Line
Bequest of Henry C. Schwab
Reference Number
1941.623",https://www.artic.edu/artworks/42271/pilgrim-flask
7606,"Judith, c. 1495, Israhel van Meckenem, the younger","Artist
Israhel van Meckenem, the younger
Title
Judith
Origin
Germany
Date
1490–1500
Medium
Engraving on ivory laid paper
Dimensions
214 × 318 mm (sheet trimmed within plate mark)
Credit Line
Bequest of Mrs. Potter Palmer, Jr.
Reference Number
1956.821",https://www.artic.edu/artworks/3711/judith
7607,"Bow Support for a Crossbow, Eastern Zhou dynasty, Warring States period (480–221 B.C.), c. 4th century B.C.","Title
Bow Support for a Crossbow
Origin
China
Date
399 BC–300 BC
Medium
Bronze inlaid with strand silver
Dimensions
8.4 × 19.3 × 3.0 cm (3 1/4 × 7 1/2 × 1 1/8 in.)
Credit Line
Lucy Maud Buckingham Collection
Reference Number
1932.972",https://www.artic.edu/artworks/12636/bow-support-for-a-crossbow
7608,"Factory Building, San Francisco, 1932, Ansel Adams","Artist
Ansel Adams
Title
Factory Building, San Francisco
Origin
United States
Date
Made 1932
Medium
Gelatin silver print
Inscriptions
Signed recto, on mount, lower right, below image, in graphite: ""Ansel Adams""; printed and typed verso, on paper affixed to mount, upper center, in black ink: ""A / PHOTOGRAPH / BY / ANSEL ADAMS / SAN FRANCISCO [printed] / 9. / FACTORY BUILDING [underlined/ typed]""
Dimensions
18.1 × 23.3 cm (image/paper); 35.5 × 45.6 cm (mount)
Credit Line
Gift of Mrs. Katharine Kuh
Reference Number
1959.875
Copyright
© The Ansel Adams Publishing Rights Trust.",https://www.artic.edu/artworks/11364/factory-building-san-francisco
7609,"Christ Appearing to Mary Magdalene (Noli Me Tangere), 1540/45, Willem de Pannemaker","Artist
Willem de Pannemaker (Manufacturer)
Title
Christ Appearing to Mary Magdalene (Noli Me Tangere)
Origin
Flanders
Date
Made 1540–1545
Medium
Wool and silk, silt, single and double interlocking tapestry weave
Dimensions
268 × 210.3 cm (105 1/2 × 82 3/4 in.)
Credit Line
Gift of the Hearst Foundation in memory of William Randolph Hearst
Reference Number
1954.259",https://www.artic.edu/artworks/96697/christ-appearing-to-mary-magdalene-noli-me-tangere
7610,"Beverly N.J., 1880/89, Thomas Moran","Artist
Thomas Moran
Title
Beverly N.J.
Origin
United States
Date
1880–1889
Medium
Watercolor on ivory wove paper
Dimensions
188 x 355 mm
Credit Line
Olivia Shaler Swan Fund income
Reference Number
1977.307",https://www.artic.edu/artworks/94077/beverly-n-j
7611,"Quilt Show, 1943, Bertha Stenge","Artist
Bertha Stenge
Title
Quilt Show
Origin
Chicago
Date
Made 1943
Medium
Appliquéd and pieced quilt; dyed and printed plain and patterned weave cotton fabrics; cotton embroidery threads
Inscriptions
Inscription (stitched in lower left corner): Bertha Stenge 1943; (label written in ink on reverse): QUILT SHOW original design Bertha Stenge 2508 N. Bernard St. Chicago 47, Illinois
Dimensions
241.2 × 197 cm (95 × 77 1/2 in.)
Credit Line
Gift of Prudence Fuchsmann
Reference Number
1995.392",https://www.artic.edu/artworks/143689/quilt-show
7612,"Female Figure, Early/mid–20th century, Hehe","Culture
Hehe
Title
Female Figure
Origin
Tanzania
Date
1900–1975
Medium
Wood and beads
Dimensions
91.4 x 28.6 x 12.7 cm (36 x 11 1/4 x 5 in.)
Credit Line
Frederick W. Renshaw Acquisition Fund, partial gift of Dr. Gary Van Wyk and Lisa Brittan, African Art and Indian Art of the Americas Curator’s Discretionary Fund, and Mr. and Mrs. David B. Ross Endowment
Reference Number
2011.43",https://www.artic.edu/artworks/207404/female-figure
7613,"Abstraction, 1970, Sam Gilliam","Artist
Sam Gilliam
Title
Abstraction
Origin
United States
Date
1970
Medium
Colored inks, with touches of silver metallic paint, on fabric
Dimensions
455 x 595 mm
Credit Line
Bequest of Solomon Byron Smith
Reference Number
1986.1600",https://www.artic.edu/artworks/109447/abstraction
7614,"A View Of Workers In Ewen Breaker Of Pennsylvania Coal Company, 1911, Lewis Wickes Hine","Artist
Lewis Wickes Hine
Title
A View Of Workers In Ewen Breaker Of Pennsylvania Coal Company
Origin
United States
Date
Made 1911
Medium
Gelatin silver print
Inscriptions
Unmarked recto; stamped verso, right center, sideways, in blue ink: ""LEWIS W. HINE / INTERPRETIVE PHOTOGRAPHY / HASTINGS-ON-HUDSON, NEW YORK""; printed on paper affixed to verso, right center, sideways, in black ink: ""1938 - South Pittson, Pa. Jan. 1911 / A view of workers in Ewen Breaker of Pa. Coal Co.. / Dust so thick that it obscured the view much of the time. / The boys bend over the constant streams of broken coal, / picking out slate. A boss, who is a kind of slave driver, / stands over them, prodding or kicking the boys into / obedience.""; inscribed verso, lower left, sideways, in graphite: ""14""
Dimensions
19.3 × 24.2 cm (image); 20.3 × 25.3 cm (paper)
Credit Line
Gift of David Vestal
Reference Number
1965.344",https://www.artic.edu/artworks/23334/a-view-of-workers-in-ewen-breaker-of-pennsylvania-coal-company
7615,"Laöcoon, 1520/30, Jean de Gourmont","Artist
Jean de Gourmont
Title
Laöcoon
Origin
France
Date
1522–1551
Medium
Engraving on ivory laid paper
Dimensions
106 × 153 (image); 107 × 154 mm (sheet)
Credit Line
Bequest of Mrs. Potter Palmer, Jr.
Reference Number
1956.1065",https://www.artic.edu/artworks/4439/laocoon
7616,"A Battle in Mid-Stream, c. 1705/10, Torii Kiyonobu I","Artist
Torii Kiyonobu I
Title
A Battle in Mid-Stream
Origin
Japan
Date
1700–1715
Medium
Hand-colored woodblock print; o-oban, tan-e
Dimensions
54.1 x 28.5 cm (21 1/4 x 11 1/4 in.)
Credit Line
Clarence Buckingham Collection
Reference Number
1932.1348",https://www.artic.edu/artworks/13671/a-battle-in-mid-stream
7617,"The Boat Builders, Venice, 1910, Donald Shaw MacLaughlan","Artist
Donald Shaw MacLaughlan
Title
The Boat Builders, Venice
Origin
United States
Date
Made 1910
Medium
Etching in black on cream laid paper
Dimensions
225 x 276 mm (image/plate); 230 x 280 mm (sheet)
Credit Line
Gift of Walter S. Brewster
Reference Number
1932.782",https://www.artic.edu/artworks/12080/the-boat-builders-venice
7618,"Study, c. 1899, Édouard Jean Vuillard","Artist
Édouard Jean Vuillard
Title
Study
Origin
France
Date
1889–1940
Medium
Charcoal, with stumping, erasing and touches of black crayon, on cream wove paper
Inscriptions
Stamped recto, lower right, in blue ink: ""E.V.""
Dimensions
394 × 309 mm
Credit Line
Prints and Drawings Purchase Fund
Reference Number
1957.372
Copyright
© 2018 Artists Rights Society (ARS), New York / ADAGP, Paris",https://www.artic.edu/artworks/6226/study
7619,"Mad Stone Eater Kachina, c. 1900, Hopi","Culture
Hopi
Title
Mad Stone Eater Kachina
Origin
Arizona
Date
1895–1905
Medium
Wood, pigment, and plant fibers
Dimensions
H. 55.9 cm (22 in.)
Credit Line
Mrs. Leonard Florsheim and African and Amerindian Curator's Discretionary funds
Reference Number
2007.397",https://www.artic.edu/artworks/191727/mad-stone-eater-kachina
7620,"The Virgin Mary Cradling the Baby Jesus, 1764, Hutin, Charles François","Artist
Hutin, Charles François
Title
The Virgin Mary Cradling the Baby Jesus
Origin
France
Date
Made 1764
Medium
Etching in black on off-white laid paper
Dimensions
130 × 90 mm (image); 184 × 120 mm (plate); 204 × 141 mm (sheet)
Credit Line
Gift of James A. Bergquist, Boston, in honor of Dorothy Braude Edinburg
Reference Number
2011.209",https://www.artic.edu/artworks/210036/the-virgin-mary-cradling-the-baby-jesus
