collection,link
"A Sunday on La Grande Jatte — 1884, 1884/86, Georges Seurat",https://www.artic.edu/artworks/27992/a-sunday-on-la-grande-jatte-1884
"Nighthawks, 1942, Edward Hopper",https://www.artic.edu/artworks/111628/nighthawks
"American Gothic, 1930, Grant Wood",https://www.artic.edu/artworks/6565/american-gothic
"The Bedroom, 1889, Vincent van Gogh",https://www.artic.edu/artworks/28560/the-bedroom
"Nightlife, 1943, Archibald John Motley Jr.",https://www.artic.edu/artworks/117266/nightlife
"The Old Guitarist, late 1903–early 1904, Pablo Picasso",https://www.artic.edu/artworks/28067/the-old-guitarist
"Paris Street; Rainy Day, 1877, Gustave Caillebotte",https://www.artic.edu/artworks/20684/paris-street-rainy-day
"Buddha Shakyamuni Seated in Meditation (Dhyanamudra), Chola period, about 12th century",https://www.artic.edu/artworks/21023/buddha-shakyamuni-seated-in-meditation-dhyanamudra
"The Assumption of the Virgin, 1577–79, Domenico Theotokópoulos, called El Greco",https://www.artic.edu/artworks/87479/the-assumption-of-the-virgin
"America Windows, 1977, Marc Chagall",https://www.artic.edu/artworks/109439/america-windows
"Coronation Stone of Motecuhzoma II (Stone of the Five Suns), 1503, Aztec (Mexica)",https://www.artic.edu/artworks/75644/coronation-stone-of-motecuhzoma-ii-stone-of-the-five-suns
"City Landscape, 1955, Joan Mitchell",https://www.artic.edu/artworks/86385/city-landscape
"Bathers by a River, 1909–10, 1913, and 1916–1917, Henri Matisse",https://www.artic.edu/artworks/79307/bathers-by-a-river
"Stacks of Wheat (End of Summer), 1890/91, Claude Monet",https://www.artic.edu/artworks/64818/stacks-of-wheat-end-of-summer
"Veranda Post (Opo Ogoga), 1910/14, Olowe of Ise",https://www.artic.edu/artworks/102611/veranda-post-opo-ogoga
"Starry Night and the Astronauts, 1972, Alma Thomas",https://www.artic.edu/artworks/129884/starry-night-and-the-astronauts
"Target, 1961, Jasper Johns",https://www.artic.edu/artworks/229351/target
"Untitled, 1964, Tanaka Atsuko",https://www.artic.edu/artworks/229393/untitled
"Weaving, 1936, Diego Rivera",https://www.artic.edu/artworks/151363/weaving
"Two Sisters (On the Terrace), 1881, Pierre-Auguste Renoir",https://www.artic.edu/artworks/14655/two-sisters-on-the-terrace
"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series “Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)”, 1830/33, Katsushika Hokusai",https://www.artic.edu/artworks/24645/under-the-wave-off-kanagawa-kanagawa-oki-nami-ura-also-known-as-the-great-wave-from-the-series-thirty-six-views-of-mount-fuji-fugaku-sanjurokkei
"Self-Portrait, 1887, Vincent van Gogh",https://www.artic.edu/artworks/80607/self-portrait
"The Child’s Bath, 1893, Mary Cassatt",https://www.artic.edu/artworks/111442/the-child-s-bath
"White Crucifixion, 1938, Marc Chagall",https://www.artic.edu/artworks/59426/white-crucifixion
"Time Transfixed, 1938, René Magritte",https://www.artic.edu/artworks/34181/time-transfixed
"Excavation, 1950, Willem de Kooning",https://www.artic.edu/artworks/76244/excavation
"Cow’s Skull with Calico Roses, 1931, Georgia O’Keeffe",https://www.artic.edu/artworks/61428/cow-s-skull-with-calico-roses
"At the Moulin Rouge, 1892/95, Henri de Toulouse-Lautrec",https://www.artic.edu/artworks/61128/at-the-moulin-rouge
"Sky above Clouds IV, 1965, Georgia O’Keeffe",https://www.artic.edu/artworks/100858/sky-above-clouds-iv
"Arrival of the Normandy Train, Gare Saint-Lazare, 1877, Claude Monet",https://www.artic.edu/artworks/16571/arrival-of-the-normandy-train-gare-saint-lazare
"Mao, 1972, Andy Warhol",https://www.artic.edu/artworks/47149/mao
"Figure with Meat, 1954, Francis Bacon",https://www.artic.edu/artworks/4884/figure-with-meat
"The Basket of Apples, c. 1893, Paul Cézanne",https://www.artic.edu/artworks/111436/the-basket-of-apples
"Inventions of the Monsters, 1937, Salvador Dalí",https://www.artic.edu/artworks/151424/inventions-of-the-monsters
"The Rock, 1944/48, Peter Blume",https://www.artic.edu/artworks/56682/the-rock
"Water Lilies, 1906, Claude Monet",https://www.artic.edu/artworks/16568/water-lilies
"Greyed Rainbow, 1953, Jackson Pollock",https://www.artic.edu/artworks/83642/greyed-rainbow
"Daniel-Henry Kahnweiler, autumn 1910, Pablo Picasso",https://www.artic.edu/artworks/111060/daniel-henry-kahnweiler
"Woman at Her Toilette, 1875/80, Berthe Morisot",https://www.artic.edu/artworks/11723/woman-at-her-toilette
"Saint George and the Dragon, 1434/35, Bernat Martorell",https://www.artic.edu/artworks/15468/saint-george-and-the-dragon
"American Collectors (Fred and Marcia Weisman), 1968, David Hockney",https://www.artic.edu/artworks/102234/american-collectors-fred-and-marcia-weisman
"Portrait of Pablo Picasso, January–February 1912, Juan Gris",https://www.artic.edu/artworks/8624/portrait-of-pablo-picasso
"Woman Descending the Staircase (Frau die Treppe herabgehend), 1965, Gerhard Richter",https://www.artic.edu/artworks/147003/woman-descending-the-staircase-frau-die-treppe-herabgehend
"Distant View of Niagara Falls, 1830, Thomas Cole",https://www.artic.edu/artworks/90048/distant-view-of-niagara-falls
"Black Cross, New Mexico, 1929, Georgia O’Keeffe",https://www.artic.edu/artworks/46327/black-cross-new-mexico
"The Red Armchair, December 16, 1931, Pablo Picasso",https://www.artic.edu/artworks/5357/the-red-armchair
"That Which I Should Have Done I Did Not Do (The Door), 1931/41, Ivan Albright",https://www.artic.edu/artworks/83905/that-which-i-should-have-done-i-did-not-do-the-door
"Venus de Milo with Drawers, 1936, Salvador Dalí",https://www.artic.edu/artworks/185184/venus-de-milo-with-drawers
"The Crucifixion, 1627, Francisco de Zurbarán",https://www.artic.edu/artworks/80084/the-crucifixion
"Improvisation No. 30 (Cannons), 1913, Vasily Kandinsky",https://www.artic.edu/artworks/8991/improvisation-no-30-cannons
"The Herring Net, 1885, Winslow Homer",https://www.artic.edu/artworks/25865/the-herring-net
"Clown Torture, 1987, Bruce Nauman",https://www.artic.edu/artworks/146989/clown-torture
"The Girl by the Window, 1893, Edvard Munch",https://www.artic.edu/artworks/154235/the-girl-by-the-window
"Champs de Mars: The Red Tower, 1911/23, Robert Delaunay",https://www.artic.edu/artworks/9503/champs-de-mars-the-red-tower
"Mother and Child, 1921, Pablo Picasso",https://www.artic.edu/artworks/109275/mother-and-child
"The Bay of Marseille, Seen from L’Estaque, c. 1885, Paul Cézanne",https://www.artic.edu/artworks/16487/the-bay-of-marseille-seen-from-l-estaque
"Cupid Chastised, 1613, Bartolomeo Manfredi",https://www.artic.edu/artworks/59847/cupid-chastised
"The Watermill with the Great Red Roof, 1662/65, Meindert Hobbema",https://www.artic.edu/artworks/869/the-watermill-with-the-great-red-roof
"Into the World There Came a Soul Called Ida, 1929–30, Ivan Albright",https://www.artic.edu/artworks/93811/into-the-world-there-came-a-soul-called-ida
"E-10: English Dining Room of the Georgian Period, 1770-90, c. 1937, Mrs. James Ward Thorne",https://www.artic.edu/artworks/43714/e-10-english-dining-room-of-the-georgian-period-1770-90
"Ballet at the Paris Opéra, 1877, Hilaire Germain Edgar Degas",https://www.artic.edu/artworks/61603/ballet-at-the-paris-opera
"Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago, 1893/94 (original built)1972 (original demolished)1976/77 (reconstructed), Adler & Sullivan, Architects",https://www.artic.edu/artworks/156538/chicago-stock-exchange-trading-room-reconstruction-at-the-art-institute-of-chicago
"The Fountain, Villa Torlonia, Frascati, Italy, 1907, John Singer Sargent",https://www.artic.edu/artworks/69780/the-fountain-villa-torlonia-frascati-italy
"Lozenge Composition with Yellow, Black, Blue, Red, and Gray, 1921, Piet Mondrian",https://www.artic.edu/artworks/109819/lozenge-composition-with-yellow-black-blue-red-and-gray
"Nocturne: Blue and Gold—Southampton Water, 1872, James McNeill Whistler",https://www.artic.edu/artworks/56905/nocturne-blue-and-gold-southampton-water
